"","sampleID","Plot","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"63",690,115,2016,"Mo287","B","2015_115self","115_B_690","6/16/16","Yes","1:00-2:30 PM","32-34 C",21.92,36.01,1.64279197080292,12.7584143017903,23.2515856982097
"64",691,115,2016,"Mo287","C","2015_115self","115_C_691","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.31,27.43,1.58463316002311,11.9545423914154,15.4754576085846
"65",692,115,2016,"Mo287","D","2015_115self","115_D_692","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15.5,25.75,1.66129032258065,13.0155045150048,12.7344954849952
"66",701,118,2016,"Mo288","A","2015_118self","118_A_701","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.58,23.53,1.73269513991163,14.0323554729617,9.49764452703826
"67",702,118,2016,"Mo288","B","2015_118self","118_B_702","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.69,25.4,1.52186938286399,11.0924461182543,14.3075538817456
"68",703,118,2016,"Mo288","C","2015_118self","118_C_703","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.28,26.27,1.71924083769634,13.8367532964497,12.4332467035502
"69",704,118,2016,"Mo288","D","2015_118self","118_D_704","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15.21,26.32,1.73044049967127,13.9994257165942,12.3205742834058
"70",713,119,2016,"Mo296","A","2011_68","119_A_713","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.49,28.91,1.86636539703034,16.0745624269298,12.8354375730702
"71",714,119,2016,"Mo296","B","2011_68","119_B_714","6/16/16","Yes","1:00-2:30 PM","32-34 C",20.64,32.13,1.55668604651163,11.5687188697504,20.5612811302496
"72",715,119,2016,"Mo296","C","2011_68","119_C_715","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.36,28.09,1.61808755760369,12.4166788769474,15.6733211230526
"73",977,167,2016,"Mo364","A","2015_167self","167_A_977","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.01,28.42,2.36636136552873,19.0328488595122,9.38715114048777
"74",978,167,2016,"Mo364","B","2015_167self","167_B_978","6/16/16","Yes","1:00-2:30 PM","32-34 C",16,24.34,1.52125,11.0840701918218,13.2559298081782
"75",979,167,2016,"Mo364","C","2015_167self","167_C_979","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.13,23.49,1.55254461335096,11.511679754355,11.978320245645
"76",980,167,2016,"Mo364","D","2015_167self","167_D_980","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.47,24.95,1.85226429101707,15.8559929993429,9.09400700065714
"77",1013,174,2016,"Mo369","A","2014_86","174_A_1013","6/16/16","Yes","1:00-2:30 PM","32-34 C",11.77,23.75,2.017841971113,18.0513768128594,5.69862318714057
"78",1014,174,2016,"Mo369","B","2014_86","174_B_1014","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.36,28.14,1.83203125,15.5407945769917,12.5992054230083
"79",1015,174,2016,"Mo369","C","2014_86","174_C_1015","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.34,25.31,1.54895960832313,11.4623591628399,13.8476408371601
"80",1016,174,2016,"Mo369","D","2014_86","174_D_1016","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.26,25.46,1.47508690614137,10.4787402408903,14.9812597591097
"81",1027,175,2016,"Mo378","C","2015_175self","175_C_1027","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.36,23.95,1.66782729805014,13.1067707755476,10.8432292244524
"82",1037,178,2016,"Mo379","A","2015_178self","178_A_1037","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.57,27.84,1.68014484007242,13.2795182634077,14.5604817365923
"83",1038,178,2016,"Mo379","B","2015_178self","178_B_1038","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.01,24.16,1.50905683947533,10.9202453447227,13.2397546552773
"84",1039,178,2016,"Mo379","C","2015_178self","178_C_1039","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.76,24.53,1.66192411924119,13.0243422482246,11.5056577517754
"85",1040,178,2016,"Mo379","D","2015_178self","178_D_1040","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.2,24.47,1.42267441860465,9.86554790449279,14.6044520955072
"86",1049,179,2016,"Mo382","A","2015_179self","179_A_1049","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.39,25,1.86706497386109,16.0853594224251,8.9146405775749
"87",1050,179,2016,"Mo382","B","2015_179self","179_B_1050","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.42,29.37,2.18852459016393,18.9042897781555,10.4657102218445
"88",1051,179,2016,"Mo382","C","2015_179self","179_C_1051","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.86,25.35,1.70592193808883,13.645173186963,11.704826813037
"89",1052,179,2016,"Mo382","D","2015_179self","179_D_1052","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.96,24.45,1.88657407407407,16.3837431931544,8.06625680684563
"90",1061,182,2016,"Mo383","A","2015_182self","182_A_1061","6/16/16","Yes","1:00-2:30 PM","32-34 C",19.23,24.81,1.29017160686427,8.81009352984642,15.9999064701536
"91",1062,182,2016,"Mo383","B","2015_182self","182_B_1062","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.86,15.02,1.08369408369408,8.00337946723332,7.01662053276668
"92",1063,182,2016,"Mo383","C","2015_182self","182_C_1063","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.18,24.13,1.83080424886191,15.5216742920805,8.60832570791948
"93",1064,182,2016,"Mo383","D","2015_182self","182_D_1064","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.43,24.43,1.69300069300069,13.4611043454652,10.9688956545348
"94",1073,183,2016,"Mo384","A","2015_183self","183_A_1073","6/16/16","Yes","1:00-2:30 PM","32-34 C",11.86,28.85,2.43254637436762,19.0409511068468,9.80904889315319
"95",1074,183,2016,"Mo384","B","2015_183self","183_B_1074","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.72,23.37,1.8372641509434,15.6223585881725,7.74764141182747
"96",1075,183,2016,"Mo384","C","2015_183self","183_C_1075","6/16/16","Yes","1:00-2:30 PM","32-34 C",11.58,25.34,2.18825561312608,18.9038023093833,6.43619769061675
"97",1076,183,2016,"Mo384","D","2015_183self","183_D_1076","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.15,16.4,1.08250825082508,8.00099637701923,8.39900362298076
"98",1085,186,2016,"IBMB73","A","2015_186self","186_A_1085","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.64,24.51,1.79692082111437,14.9964875438862,9.5135124561138
"99",1086,186,2016,"IBMB73","B","2015_186self","186_B_1086","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.87,26,2.02020202020202,18.0733503081064,7.92664969189362
"100",1087,186,2016,"IBMB73","C","2015_186self","186_C_1087","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.19,23.08,1.74981046247157,14.2843762644946,8.79562373550539
"101",1088,186,2016,"IBMB73","D","2015_186self","186_D_1088","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.46,23.05,1.71248142644874,13.7392795874388,9.31072041256118
"102",1199,188,2016,"PH207","C","2015_223","188_C_1199","6/16/16","Yes","1:00-2:30 PM","32-34 C",11.71,25.09,2.14261315115286,18.7941526615524,6.29584733844757
"103",1200,188,2016,"PH207","D","2015_223","188_D_1200","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.65,23.66,1.61501706484642,12.3742611355452,11.2857388644548
"104",1221,191,2016,"Mo17","A","O390","191_A_1221","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.08,12.23,0.868607954545455,7.83531862094818,4.39468137905182
"105",1222,191,2016,"Mo17","B","O390","191_B_1222","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.06,16.03,0.939624853458382,7.85379622533908,8.17620377466092
"106",1223,191,2016,"Mo17","C","O390","191_C_1223","6/16/16","Yes","1:00-2:30 PM","32-34 C",18.37,27.75,1.51061513336962,10.9410590518393,16.8089409481607
"107",1224,191,2016,"Mo17","D","O390","191_D_1224","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.1,16.27,1.24198473282443,8.55895139300044,7.71104860699956
"108",1245,195,2016,"B73","A","2015_386self","195_A_1245","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.89,24.03,1.61383478844862,12.3579296206757,11.6720703793243
"109",1246,195,2016,"B73","B","2015_386self","195_B_1246","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.24,22.09,1.66842900302115,13.1151847875095,8.97481521249047
"110",1247,195,2016,"B73","C","2015_386self","195_C_1247","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.81,23.25,1.68356263577118,13.3276555195795,9.92234448042051
